넘버,영상제목,영상주소
1,빅 데이터 3분 요약,https://youtube.com/watch?v=l2RBzee3Ag4
2,빅데이터란? (What is Big Data?),https://youtube.com/watch?v=6MrCdXBlmqM
3,변화를 빠르게 파악해야 살아남는다❗ 빅데이터 전문가가 꼽은 미래를 이끌 키워드는?｜차이나는 클라스｜JTBC 220724 방송,https://youtube.com/watch?v=EdCwsSg8vlw
4,[이슈 픽! 쌤과 함께] 빅데이터 전문가 송길영이 말하는 '빅데이터란 무엇인가?' KBS 29291118 방송,https://youtube.com/watch?v=2A8NelGuWgI
5,빅데이터는 이것만 기억하면 된다!｜서가명강 - 빅데이터로 성공하기 1강(서울대 산업공학과 조성준 교수) ｜(ENG sub) What is Big Data?,https://youtube.com/watch?v=PBaUjMgRIx0
6,"미래 유망 직종, 빅데이터 분석기사에 도전해야 하는 이유",https://youtube.com/watch?v=NiuYy2135Vs
7,10분으로 알아보는 빅데이터 기술 & 사례들! | 십분AI 마지막 강의,https://youtube.com/watch?v=Jd_fK-6dfcI
8,단순히 큰(BIG) 데이터가 아닌 빅데이터! Data Technology에 대해 알아보겠습니다.,https://youtube.com/watch?v=DQFj41o_Bhs
9,"[빅데이터를 아는자, 기회를 잡는다!] 4차 산업혁명의 핵심기술, 빅데이터의 정의",https://youtube.com/watch?v=ykUmrnuyYYo
10,"[8분 명강] 세상을 읽는 새로운 언어, 빅데이터 - 서울대 산업공학과 조성준 교수",https://youtube.com/watch?v=ENP0cDULbSs
11,빅데이터의 배신 | 나는 오늘 알고리즘에게 해고당했다,https://youtube.com/watch?v=SS-7Q_SRU2s
12,실생활에 밀접하게 다가온 빅데이터 기술 / YTN 사이언스,https://youtube.com/watch?v=r_7w1bzYeSo
13,"미래의 석유?! 4차 산업혁명의 핵심 기술, 빅데이터",https://youtube.com/watch?v=00fUsFLRW54
14,빅데이터가 말하는 꿈과 공부의 미래 | 최재원 다음소프트 이사 | 인생 강연 강의 듣기 | 세바시 817회,https://youtube.com/watch?v=DAAmaDWRmkY
15,(8월23일)[황금연못의 바이셀TV] 주간 2부 | 김과장 항셍매매,https://youtube.com/watch?v=QvCxWHaDBP0
16,코인 시장도 스태그 플레이션.ㅣ똑똑한 소비자는 리플을 얻는다.ㅣ,https://youtube.com/watch?v=aCs5vM9sHzA
17,시청자들한테 야생서버를 열어주면 생기는 일 ㄷㄷ,https://youtube.com/watch?v=Eqa7pTDtnfY
18,"【groovy ep.1】 전세계 모든 ""빅베이트""를 하나로 이제 그루비만 있으면 다 됩니다.  [강호형 THIS IS BASS FISHING] #16",https://youtube.com/watch?v=PRBfJhpv2_I
19,빅데이터 처리 기술 개요,https://youtube.com/watch?v=GMteLVS6lME
20,인공지능과 빅데이터 / YTN 사이언스,https://youtube.com/watch?v=TMjRAkVAWM0
21,"세상을 읽는 새로운 언어, 빅데이터 - 조성준 교수│[사색의 공동체, 스미다]",https://youtube.com/watch?v=sNmi-LMhwHs
22,"빅데이터 취업준비 이렇게 하시면 됩니다 | 프로그래밍 언어, 책 추천",https://youtube.com/watch?v=7wQvqD89hCU
23,빅데이터,https://youtube.com/watch?v=vyRC1bUAwFE
24,배워서 바로 써먹는 📇빅데이터 분석 실전📇,https://youtube.com/watch?v=biaF1ExDbCw
25,대왕 요구르트 등장…빅데이터가 만든 대박상품 / SBS,https://youtube.com/watch?v=Spp39BgpsNk
26,"💎빅데이터 세상, 연봉 바꾸는 법! 돈벌이 되는 데이터 미래직업 총정리! - 조성준 교수 '빅데이터 커리어 가이드북' 김미경의 북토크",https://youtube.com/watch?v=pErU1Hit_2g
27,야구⚾️부터 미국 대선🇺🇸까지! 세상을 예측하는 [빅데이터] 차이나는 클라스(jtbclecture) 231회 | JTBC 220227 방송,https://youtube.com/watch?v=By65h9-Z78U
